source,site_name,site_id,geometry
ACIS,SKAGWAY AIRPORT,30840,"c(-135.3239, 59.4556)"
ACIS,NENANA MUNICIPAL AIRPORT,30895,"c(-149.07167, 64.55)"
ACIS,EAGLE AIRPORT,30896,"c(-141.14833, 64.77667)"
ACIS,WAINWRIGHT AIRPORT,30926,"c(-159.995, 70.63917)"
ACIS,DEERING AIRPORT,30948,"c(-162.76389, 66.06889)"
ACIS,KLAWOCK AIRPORT,30949,"c(-133.075, 55.58)"
ACIS,ST GEORGE ISLAND AIRPORT,30950,"c(-169.565, 56.6)"
ACIS,ANCHORAGE LAKE HOOD SEA PLANE BASE,30951,"c(-149.96638, 61.17806)"
ACIS,NUIQSUT AIRPORT,30965,"c(-151.00166, 70.21167)"
ACIS,KIVALINA AIRPORT,30970,"c(-164.54832, 67.73167)"
ACIS,SELDOVIA AIRPORT,30982,"c(-151.70168, 59.44333)"
ACIS,FAIRBANKS AIRPORT #2,31019,"c(-147.8739, 64.8172)"
ACIS,JUNEAU LENA POINT,31020,"c(-134.76579, 58.3869)"
ACIS,CAMPBELL CREEK SCIENCE CENTER,31086,"c(-149.77769, 61.1638)"
ACIS,CHANDALAR SHELF DOT,31087,"c(-149.5647, 68.0781)"
ACIS,HAINES #2,31090,"c(-135.4494, 59.2381)"
ACIS,EKLUTNA WTP,31183,"c(-149.323, 61.4495)"
ACIS,JUNEAU FORECAST OFFICE,31193,"c(-134.5694, 58.4002)"
ACIS,CORDOVA WWTP,31404,"c(-145.778, 60.5358)"
ACIS,WALLY NOERENBERG HATCHERY,31409,"c(-148.0872, 60.7986)"
ACIS,EAGLE RIVER GAKONA CIRCLE,31482,"c(-149.5435, 61.3193)"
ACIS,POINT BAKER,31559,"c(-133.6263, 56.3511)"
ACIS,HYDER,31580,"c(-130.02592, 55.9158)"
ACIS,FAIRBANKS 11 NE,31728,"c(-147.50999, 64.9735)"
ACIS,AURORA,31749,"c(-147.7216, 64.8552)"
ACIS,KETCHIKAN AIRPORT,31833,"c(-131.72073, 55.35956)"
ACIS,KETCHIKAN TONGASS,31834,"c(-131.66667, 55.33333)"
ACIS,KETCHIKAN ELLIS,31835,"c(-131.56667, 55.33333)"
ACIS,SOLDOTNA 5SSW,31841,"c(-151.13361, 60.4194)"
ACIS,MONASHKA CREEK DAM,31947,"c(-152.4585, 57.8426)"
